goal_number,date,team,opponent,competition,is_home,assist_player,shot_x,shot_y,body_part,goal_type,finish_type,milestone
759,2022-02-06,Paris St Germain,Lille,Ligue1,0,,10,57,1,0,,
760,2022-03-26,Argentina,Venezuela,WCQ,1,DiMaria,5,51,2,0,,
761,2022-04-03,Paris St Germain,Lorient,Ligue1,1,Mbappe,12,55,1,0,,
762,2022-04-23,Paris St Germain,Lens,Ligue1,1,Neymar,24,57,1,0,,
763,2022-05-14,Paris St Germain,Montpellier,Ligue1,0,Mbappe,10,41,1,0,,
764,2022-05-14,Paris St Germain,Montpellier,Ligue1,0,Mbappe,5,55,1,0,,
765,2022-06-05,Argentina,Estonia,IF,1,,11,50,1,1,,
766,2022-06-05,Argentina,Estonia,IF,1,Gomez,7,66,1,0,,
767,2022-06-05,Argentina,Estonia,IF,1,Molina,8,54,1,0,,
768,2022-06-05,Argentina,Estonia,IF,1,,8,57,2,0,,
769,2022-06-05,Argentina,Estonia,IF,1,,13,48,1,0,,
770,2022-07-31,Paris St Germain,Nantes,Trophee des Champions,1,,3,58,2,0,,
771,2022-08-06,Paris St Germain,Clermont,Ligue1,0,Neymar,9,48,1,0,,
772,2022-08-06,Paris St Germain,Clermont,Ligue1,0,Paredes,8,52,1,0,,bicycle
773,2022-08-21,Paris St Germain,Lille,Ligue1,0,Mendez,10,42,2,0,,
774,2022-09-14,Paris St Germain,Haifa,CL,1,Mbappe,5,44,1,0,,
775,2022-09-18,Paris St Germain,Lyon,Ligue1,0,Neymar,15,44,1,0,,
776,2022-09-23,Argentina,Honduras,IF,1,,11,50,1,1,,
777,2022-09-23,Argentina,Honduras,IF,1,,23,46,1,0,,
778,2022-09-27,Argentina,Jamaica,IF,1,Lo Celso,21,51,1,0,,
779,2022-09-27,Argentina,Jamaica,IF,1,,19,54,1,2,,
780,2022-10-01,Paris St Germain,Nice,Ligue1,1,,21,51,1,2,,
781,2022-10-05,Paris St Germain,Benfica,CL,0,Mbappe,17,65,1,0,,
782,2022-10-21,Paris St Germain,Ajaccio,Ligue1,0,Mbappe,2,51,1,0,,
783,2022-10-25,Paris St Germain,Maccabi Haifa,CL,1,Mbappe,8,34,1,0,,
784,2022-10-25,Paris St Germain,Maccabi Haifa,CL,1,Mbappe,18,46,1,0,,
785,2022-10-29,Paris St Germain,Troyes,Ligue1,1,Ramos,26,49,1,0,,
786,2022-11-16,Argentina,UAE,IF,0,DiMaria,9,59,2,0,,
787,2022-11-22,Argentina,Saudi Arabia,WC,1,Paredes,11,50,1,1,,
788,2022-11-26,Argentina,Mexico,WC,1,DiMaria,23,49,1,0,,
789,2022-12-03,Argentina,Australia,WC,1,Otamendi,13,62,1,0,,
790,2022-12-09,Argentina,Netherlands,WC,0,Acuna,11,50,1,0,,
791,2022-12-13,Argentina,Croatia,WC,0,Alvarez,11,50,1,0,,
792,2022-12-18,Argentina,France,WC,1,DiMaria,11,50,1,0,,
793,2022-12-18,Argentina,France,WC,1,,2,56,2,0,,
794,2023-01-11,Paris St Germain,Angers,Ligue1,1,Mukiele,7,57,2,0,,
795,2023-02-01,Paris St Germain,Montpellier,Ligue1,0,Ruiz,5,49,1,0,,
796,2023-02-04,Paris St Germain,Toulouse,Ligue1,1,Hakimi,21,51,1,0,,
797,2023-02-19,Paris St Germain,Lille,Ligue1,1,,23,50,1,2,,
798,2023-02-26,Paris St Germain,Olympique Marseille,Ligue1,0,Mbappe,4,50,2,0,,
799,2023-03-04,Paris St Germain,Nantes,Ligue1,1,,7,49,1,0,,
800,2023-03-23,Argentina,Panama,IF,1,,23,60,1,2,,
